seat_id,x_px,y_px
S001,80.16666666666667,362.6
S002,135.66666666666669,374.93333333333334
S003,194.86666666666667,389.73333333333335
S004,394.6666666666667,404.53333333333336
S005,446.4666666666667,405.7666666666667
S006,497.03333333333336,404.53333333333336
S007,550.0666666666667,404.53333333333336
S008,601.8666666666667,403.3
S009,652.4333333333334,402.06666666666666
S010,704.2333333333333,403.3
S011,910.2,397.1333333333333
S012,965.7,381.1
S013,1023.6666666666667,366.3
S014,77.7,460.03333333333336
S015,134.43333333333334,472.3666666666667
S016,193.63333333333335,492.1
S017,394.6666666666667,500.73333333333335
S018,453.8666666666667,500.73333333333335
S019,499.5,500.73333333333335
S020,551.3000000000001,500.73333333333335
S021,603.1,500.73333333333335
S022,657.3666666666667,501.9666666666667
S023,711.6333333333333,500.73333333333335
S024,907.7333333333333,494.56666666666666
S025,966.9333333333334,477.3
S026,1026.1333333333334,461.2666666666667
S027,75.23333333333333,562.4
S028,130.73333333333335,575.9666666666667
S029,196.10000000000002,592.0
S030,393.43333333333334,604.3333333333334
S031,451.40000000000003,603.1
S032,506.90000000000003,603.1
S033,555.0,604.3333333333334
S034,606.8000000000001,601.8666666666667
S035,656.1333333333333,603.1
S036,711.6333333333333,603.1
S037,911.4333333333334,596.9333333333334
S038,971.8666666666667,579.6666666666667
S039,1029.8333333333335,564.8666666666667
S040,75.23333333333333,663.5333333333334
S041,130.73333333333335,679.5666666666667
S042,196.10000000000002,698.0666666666667
S043,392.20000000000005,707.9333333333334
S044,451.40000000000003,707.9333333333334
S045,503.20000000000005,707.9333333333334
S046,557.4666666666667,707.9333333333334
S047,609.2666666666667,709.1666666666667
S048,661.0666666666667,709.1666666666667
S049,710.4000000000001,709.1666666666667
S050,915.1333333333333,698.0666666666667
S051,979.2666666666668,682.0333333333334
S052,1036.0,666.0
S053,75.23333333333333,769.6
S054,130.73333333333335,780.7
S055,196.10000000000002,801.6666666666667
S056,390.9666666666667,809.0666666666667
S057,453.8666666666667,810.3000000000001
S058,506.90000000000003,810.3000000000001
S059,557.4666666666667,809.0666666666667
S060,610.5,809.0666666666667
S061,667.2333333333333,810.3000000000001
S062,716.5666666666667,809.0666666666667
S063,916.3666666666667,801.6666666666667
S064,981.7333333333333,784.4000000000001
S065,1040.9333333333334,767.1333333333333
S066,74.0,870.7333333333333
S067,134.43333333333334,884.3000000000001
S068,196.10000000000002,901.5666666666667
S069,390.9666666666667,912.6666666666667
S070,455.1,912.6666666666667
S071,506.90000000000003,910.2
S072,558.7,912.6666666666667
S073,612.9666666666667,911.4333333333334
S074,668.4666666666667,911.4333333333334
S075,721.5,911.4333333333334
S076,915.1333333333333,905.2666666666668
S077,981.7333333333333,888.0
S078,1042.1666666666667,873.2
S079,74.0,974.3333333333334
S080,135.66666666666669,991.6
S081,198.56666666666666,1010.1
S082,389.73333333333335,1018.7333333333333
S083,453.8666666666667,1018.7333333333333
S084,506.90000000000003,1019.9666666666667
S085,558.7,1019.9666666666667
S086,612.9666666666667,1019.9666666666667
S087,670.9333333333334,1018.7333333333333
S088,722.7333333333333,1019.9666666666667
S089,918.8333333333334,1008.8666666666667
S090,984.2,989.1333333333333
S091,1044.6333333333334,976.8000000000001
S092,388.5,1121.1000000000001
S093,453.8666666666667,1118.6333333333334
S094,506.90000000000003,1119.8666666666668
S095,561.1666666666667,1117.4
S096,610.5,1119.8666666666668
S097,670.9333333333334,1119.8666666666668
S098,723.9666666666667,1119.8666666666668
S099,917.6,1112.4666666666667
S100,982.9666666666667,1096.4333333333334
S101,1039.7,1080.4
